YEAR,GAME_ID,CURRENT_ROUND,TEAM_A,TEAM_A_NO,SEED_A,SCORE_A,TEAM_B,TEAM_B_NO,SEED_B,SCORE_B,TARGET,KADJ EM_A,KADJ O_A,KADJ D_A,BADJ EM_A,BADJ O_A,BADJ D_A,BARTHAG_A,EFG%_A,EFG%D_A,TOV%_A,TOV%D_A,OREB%_A,DREB%_A,FTR_A,FTRD_A,ELITE SOS_A,WAB_A,EXP_A,TALENT_A,WIN%_A,KADJ EM_B,KADJ O_B,KADJ D_B,BADJ EM_B,BADJ O_B,BADJ D_B,BARTHAG_B,EFG%_B,EFG%D_B,TOV%_B,TOV%D_B,OREB%_B,DREB%_B,FTR_B,FTRD_B,ELITE SOS_B,WAB_B,EXP_B,TALENT_B,WIN%_B,KADJ EM_DIFF,KADJ O_DIFF,KADJ D_DIFF,BADJ EM_DIFF,BADJ O_DIFF,BADJ D_DIFF,BARTHAG_DIFF,EFG%_DIFF,EFG%D_DIFF,TOV%_DIFF,TOV%D_DIFF,OREB%_DIFF,DREB%_DIFF,ELITE SOS_DIFF,WAB_DIFF,WIN%_DIFF,TALENT_DIFF,EXP_DIFF,SEED_DIFF
2008,1,2,Memphis,37,1,68,Kansas,43,1,75,0,29.3779,114.695,85.3169,29.5,113.3,83.8,0.97,53.0,42.5,17.2,23.3,37.8,70.7,38.6,32.7,20.888,8.9,1.605,82.995,97.05882,33.9647,121.433,87.4681,35.4,121.0,85.6,0.982,56.3,44.8,18.7,22.9,38.0,71.0,37.5,30.8,30.29,9.9,2.047,89.633,90.90909,-4.5868,-6.738000000000014,-2.151200000000003,-5.899999999999999,-7.700000000000003,-1.7999999999999972,-0.01200000000000001,-3.299999999999997,-2.299999999999997,-1.5,0.40000000000000213,-0.20000000000000284,-0.29999999999999716,-9.401999999999997,-1.0,6.149729999999991,-6.637999999999991,-0.44200000000000017,0
2008,3,4,UCLA,13,1,63,Memphis,37,1,78,0,30.5753,118.735,88.16,29.5,116.4,86.9,0.967,52.3,48.0,18.8,22.7,39.2,74.1,38.0,25.7,32.362,10.8,1.491,78.469,90.90909,29.3779,114.695,85.3169,29.5,113.3,83.8,0.97,53.0,42.5,17.2,23.3,37.8,70.7,38.6,32.7,20.888,8.9,1.605,82.995,97.05882,1.1973999999999982,4.040000000000006,2.8430999999999926,0.0,3.1000000000000085,3.1000000000000085,-0.0030000000000000027,-0.7000000000000028,5.5,1.6000000000000014,-0.6000000000000014,1.4000000000000057,3.3999999999999915,11.474,1.9000000000000004,-6.149729999999991,-4.5260000000000105,-0.11399999999999988,0
2008,5,4,Kansas,43,1,84,North Carolina,31,1,66,1,33.9647,121.433,87.4681,35.4,121.0,85.6,0.982,56.3,44.8,18.7,22.9,38.0,71.0,37.5,30.8,30.29,9.9,2.047,89.633,90.90909,28.1446,120.686,92.5415,28.4,120.2,91.8,0.957,52.4,48.0,19.0,21.2,42.4,71.3,39.1,25.5,31.561,11.9,1.595,90.906,94.11765,5.8201,0.7469999999999999,-5.073399999999992,7.0,0.7999999999999972,-6.200000000000003,0.025000000000000022,3.8999999999999986,-3.200000000000003,-0.3000000000000007,1.6999999999999993,-4.399999999999999,-0.29999999999999716,-1.2710000000000008,-2.0,-3.2085599999999914,-1.2730000000000103,0.4520000000000002,0
2008,7,8,Xavier,1,3,57,UCLA,13,1,76,0,22.3453,116.413,94.068,22.9,115.2,92.3,0.928,55.0,46.8,20.3,20.0,36.5,70.5,41.7,31.5,23.372,4.7,2.038,13.33,81.81818,30.5753,118.735,88.16,29.5,116.4,86.9,0.967,52.3,48.0,18.8,22.7,39.2,74.1,38.0,25.7,32.362,10.8,1.491,78.469,90.90909,-8.229999999999997,-2.3220000000000027,5.908000000000001,-6.600000000000001,-1.2000000000000028,5.3999999999999915,-0.038999999999999924,2.700000000000003,-1.2000000000000028,1.5,-2.6999999999999993,-2.700000000000003,-3.5999999999999943,-8.990000000000002,-6.1000000000000005,-9.090910000000008,-65.139,0.5469999999999997,2
2008,9,8,Texas,15,2,67,Memphis,37,1,85,0,24.8513,119.757,94.9061,25.8,120.0,94.2,0.942,51.4,46.1,14.1,18.5,36.1,66.3,32.6,29.7,34.791,8.4,1.229,81.767,81.81818,29.3779,114.695,85.3169,29.5,113.3,83.8,0.97,53.0,42.5,17.2,23.3,37.8,70.7,38.6,32.7,20.888,8.9,1.605,82.995,97.05882,-4.526600000000002,5.062000000000012,9.589199999999991,-3.6999999999999993,6.700000000000003,10.400000000000006,-0.028000000000000025,-1.6000000000000014,3.6000000000000014,-3.0999999999999996,-4.800000000000001,-1.6999999999999957,-4.400000000000006,13.902999999999995,-0.5,-15.240639999999999,-1.2280000000000086,-0.3759999999999999,1
2008,11,8,Davidson,51,10,57,Kansas,43,1,59,0,20.5532,114.056,93.5027,18.8,110.8,92.0,0.895,54.4,48.4,17.7,24.1,32.6,72.4,25.4,37.7,17.709,1.5,1.996,18.502,80.64516,33.9647,121.433,87.4681,35.4,121.0,85.6,0.982,56.3,44.8,18.7,22.9,38.0,71.0,37.5,30.8,30.29,9.9,2.047,89.633,90.90909,-13.4115,-7.3770000000000095,6.0345999999999975,-16.599999999999998,-10.200000000000003,6.400000000000006,-0.08699999999999997,-1.8999999999999986,3.6000000000000014,-1.0,1.2000000000000028,-5.399999999999999,1.4000000000000057,-12.581,-8.4,-10.263930000000002,-71.131,-0.051000000000000156,9
2008,13,8,Louisville,39,3,73,North Carolina,31,1,83,0,23.198,111.828,88.6299,22.9,110.3,87.4,0.936,52.0,43.8,19.6,21.4,33.4,69.3,36.4,33.2,30.593,4.7,1.617,83.94,75.0,28.1446,120.686,92.5415,28.4,120.2,91.8,0.957,52.4,48.0,19.0,21.2,42.4,71.3,39.1,25.5,31.561,11.9,1.595,90.906,94.11765,-4.9466,-8.858000000000004,-3.911599999999993,-5.5,-9.900000000000006,-4.3999999999999915,-0.020999999999999908,-0.3999999999999986,-4.200000000000003,0.6000000000000014,0.1999999999999993,-9.0,-2.0,-0.968,-7.2,-19.117649999999998,-6.966000000000008,0.02200000000000002,2
2008,15,16,West Virginia,5,7,75,Xavier,1,3,79,0,20.14,113.57,93.4302,20.9,113.1,92.2,0.913,51.6,47.7,16.3,23.3,34.1,68.6,37.1,38.9,29.445,2.6,1.679,46.742,69.69697,22.3453,116.413,94.068,22.9,115.2,92.3,0.928,55.0,46.8,20.3,20.0,36.5,70.5,41.7,31.5,23.372,4.7,2.038,13.33,81.81818,-2.205300000000001,-2.8430000000000035,-0.6377999999999986,-2.0,-2.1000000000000085,-0.09999999999999432,-0.015000000000000013,-3.3999999999999986,0.9000000000000057,-4.0,3.3000000000000007,-2.3999999999999986,-1.9000000000000057,6.073,-2.1,-12.121210000000005,33.412,-0.35899999999999976,4
2008,17,16,Western Kentucky,4,12,78,UCLA,13,1,88,0,14.0646,111.076,97.011,13.1,108.6,95.5,0.814,53.6,46.9,20.2,25.2,37.0,67.2,36.2,47.7,14.064,0.2,2.066,16.148,80.64516,30.5753,118.735,88.16,29.5,116.4,86.9,0.967,52.3,48.0,18.8,22.7,39.2,74.1,38.0,25.7,32.362,10.8,1.491,78.469,90.90909,-16.5107,-7.659000000000006,8.850999999999999,-16.4,-7.800000000000011,8.599999999999994,-0.15300000000000002,1.3000000000000043,-1.1000000000000014,1.3999999999999986,2.5,-2.200000000000003,-6.8999999999999915,-18.298000000000002,-10.600000000000001,-10.263930000000002,-62.321,0.5749999999999997,11
2008,19,16,Texas,15,2,82,Stanford,18,3,62,1,24.8513,119.757,94.9061,25.8,120.0,94.2,0.942,51.4,46.1,14.1,18.5,36.1,66.3,32.6,29.7,34.791,8.4,1.229,81.767,81.81818,23.9361,113.328,89.3924,22.9,111.5,88.6,0.934,49.8,44.0,18.9,18.1,39.2,71.2,40.4,34.0,33.063,6.7,1.859,64.912,78.78788,0.9151999999999987,6.429000000000002,5.5137,2.900000000000002,8.5,5.6000000000000085,0.007999999999999896,1.6000000000000014,2.1000000000000014,-4.799999999999999,0.3999999999999986,-3.1000000000000014,-4.900000000000006,1.7279999999999944,1.7000000000000002,3.030299999999997,16.85499999999999,-0.6299999999999999,-1
